timestamp,symbol,action,signal_price,execution_price,fee_paid,quote_balance,base_balance,portfolio_value,pnl,pnl_pct
2026-07-05 09:57:55,ETHUSDT,SELL,1758.33,1757.450835,0.0,1038.530751,0.0,1038.530751,38.530751,3.8531
2026-07-05 19:44:36,ETHUSDT,BUY,1781.73,1782.620865,1.0,0.0,0.582004,1036.973733,36.973733,3.6974
2026-07-08 06:12:06,BTCUSDT,SELL,62590.28,62558.98486,0.0,1020.14429,0.0,1020.14429,20.14429,2.0144
2026-07-08 06:12:06,ETHUSDT,SELL,1751.54,1750.66423,0.0,1017.874442,0.0,1017.874442,17.874442,1.7874
2026-07-09 07:55:52,BTCUSDT,BUY,63048.75,63080.274375,1.0,0.0,0.016156,1018.614839,18.614839,1.8615
2026-07-09 18:13:20,ETHUSDT,BUY,1755.9,1756.77795,1.0,0.0,0.578819,1016.348393,16.348393,1.6348
2026-07-11 23:26:08,BTCUSDT,SELL,63895.99,63864.042005,0.0,1030.7549,0.0,1030.7549,30.7549,3.0755
2026-07-13 00:13:12,BTCUSDT,BUY,64241.99,64274.110995,1.0,0.0,0.016021,1029.20954,29.20954,2.921
2026-07-13 04:03:24,BTCUSDT,SELL,62798.01,62766.610995,0.0,1004.567182,0.0,1004.567182,4.567182,0.4567
2026-07-13 04:03:24,ETHUSDT,SELL,1779.67,1778.780165,0.0,1028.562277,0.0,1028.562277,28.562277,2.8562
2026-07-14 10:16:06,ETHUSDT,BUY,1789.91,1790.804955,1.0,0.0,0.573783,1027.020205,27.020205,2.702
2026-07-14 11:47:43,BTCUSDT,BUY,62872.0,62903.436,1.0,0.0,0.015954,1003.061084,3.061084,0.3061
2026-07-16 04:20:32,BTCUSDT,SELL,64567.74,64535.45613,0.0,1028.570295,0.0,1028.570295,28.570295,2.857
2026-07-16 12:47:28,ETHUSDT,SELL,1872.47,1871.533765,0.0,1072.780691,0.0,1072.780691,72.780691,7.2781
